AccountName,Name,Subscribers,Views,Likes,Comments,Shares
williesalim,WILLIE SALIM,19.4M,4.9M,299.1K,4K,2.7K
lewiscapaldi,Lewis Capaldi,4M,2.8M,311.1K,2.3K,8.9K
hayleythebignoodle,💕Hayley💕,84.6K,2.8M,145.9K,10.8K,12.8K
tooturnttony,Tooturnttony,18.7M,5.3M,507K,2.7K,913
douhalaribiii,Douha laribii,9.3M,6.3M,405.7K,2.6K,1.1K
christian,Christian Del Grosso,4.7M,1.9M,252.6K,3.2K,16.5K
jacobday,Jacob Day,6.3M,2.7M,515.4K,4.5K,2.2K
dedaaladim,Debora Aladim,1.8M,2.4M,531.1K,3.8K,3.4K
isaach.p,Isaac H.P,3.4M,3.1M,445.9K,4.4K,2.1K
jindaouis,Louisa Jindaoui,2.4M,3.5M,551.5K,2.6K,2K
qamar_altaey,𝑄𝐴𝑀𝐴𝑅,4.3M,2.7M,276.6K,4.9K,6.6K
raonyp,Rao,224.5K,1.4M,349.1K,6.1K,11.4K
soysuco,soysuco,13.4M,3.2M,332.3K,6.9K,1.1K
robertirwin,Robert Irwin,4.6M,2.3M,492.9K,3.6K,3.8K
olivertree,Oliver Tree,12.8M,5.5M,490.4K,2K,1.1K
mollymaehague,Molly-Mae Hague,2.4M,5M,593.6K,1.8K,1K
theovon,Theo Von,3.1M,2.6M,302.3K,1K,9.3K
chris,Chris Olsen,8.6M,4.7M,682.3K,1.7K,851
sehataqua,SehatAQUA,533.2K,61.1M,70K,539,1.3K
dylan.page,Dylan Page,4.5M,2.8M,403.8K,4.1K,2.8K
lagranjadelborrego,La granja del borrego,13.2M,5.2M,744.8K,1.4K,627
vhackerr,Vinnie,15M,2.8M,473.9K,3.8K,2.1K
augustogimenez,AugustoGimenez,13.9M,6M,862.8K,1K,464
garett__nolan,Garett Nolan,13.4M,2.7M,351.3K,2.9K,5.2K
alexwaarren,Alex warren,15.6M,4.7M,854.5K,893,981
madisonbeer,Madison Beer,18.1M,2.9M,492.3K,2.9K,2.3K
brodywellmaker,Brody Wellmaker,21.7M,2.7M,461.4K,1.8K,4.2K
lukas.urkijo,Lukas urkijo,1.8M,3.8M,384.3K,3.6K,1.4K
victormelo,Victor Melo,22.4M,3M,562.2K,2K,2.2K
nashvibes,NashVibes Art,4M,5.6M,534.5K,1.2K,1.2K
elbitalamanabita5,Elba González,1.5M,2.6M,418.7K,1.6K,4.8K
jaimeonod,Telma,1.9M,2.7M,365.5K,3.7K,3.3K
b.blek,b.blek,3.1M,4.3M,332.1K,2.5K,2.1K
lachlanfairbairn,lachlanfairbairn,1.1M,2.3M,425.2K,2.5K,4.2K
zeth,Zeth,13M,3M,546.3K,1.1K,3K
emillyvickof,Emilly Vick,13.1M,4.9M,383K,2.5K,1K
pierson,Pierson,13.9M,3.7M,617.1K,1.8K,1.1K
siscakohl,Sisca Kohl,12.7M,5.5M,495K,1.6K,774
lelepons,Lele Pons,28.6M,4.4M,639.5K,1.2K,1.1K
jamarcus,Jamarcus Chatman,2.1M,6.1M,301.3K,423,3.1K
nayibbukele,Nayib Bukele,4.2M,2.2M,246.7K,5.9K,5.8K
surya.manurung,SURYAMANURUNG,2.3M,7.6M,181.5K,3.1K,1.5K
rinklebinkle,rinkle binkle 😼,198.4K,1.7M,389K,4.3K,5.4K
k0uvr,Kouvr,13.8M,4.3M,667.3K,1.1K,1.1K
thoriqhal,thariqhalilintar,4.7M,1.8M,236.1K,13.5K,1.2K
bayashi.tiktok,バヤシ🥑Bayashi,36.3M,3.8M,434.6K,2.9K,905
queenofontario,amaris,74.3K,3.4M,721.7K,683,1.9K
llkeyllll,Kadi,2.1M,3.6M,238.8K,5.6K,1.6K
haileesteinfeld,Hailee Steinfeld,3.3M,1.6M,404.9K,6.9K,2.6K
elpugaa,Puga,10.1M,3.7M,334.7K,608,4.3K
yucholoco,Sintya Marisca,3M,5M,364K,1.7K,1.6K
botakteras,Mike,3.8M,5.1M,406.4K,2.3K,500
championsleague,Champions League,18.3M,3.7M,488.1K,1.7K,1.6K
youngswagonoriginal,YoungSwagon,5.7M,2.7M,450.1K,1.2K,3.4K
slaterkodish,slaterkodish,326.9K,4.3M,580.9K,680,1.6K
bmbsh7,بمبش السيد♦️bimbsh♦️,5.1M,2.5M,330.3K,4.8K,1.9K
nicolegarcia,nicole garcia,13M,5.2M,659.2K,1.1K,515
mas_nizar,IG: nizar_abzhr31,6.7M,3.4M,450.1K,2.9K,728
jelena.unforgetable,#jelena,183.1K,6.2M,434.5K,1.6K,418
los_chicaneros,Los_chicaneros,4.9M,2.8M,324K,1.3K,4.5K
costatitch,Costa Titch,947.1K,4.3M,305.6K,634,3.4K
