AccountName,Name,Subscribers,Views,Likes,Comments,Shares
tanboykun_asli,Tanboy kun,2.5M,3M,170.7K,453,713
madsbaileybabe,Maddie L Bailey,6M,1.6M,300.3K,898,344
leanbeefpatty,Patty,6.2M,1.5M,223.3K,1.2K,537
tonystatovci,TONY STATOVCI,3.1M,968.8K,210K,857,2.1K
ser_jay,Hello It’s me SerJay,5.4M,1.8M,304.2K,639,448
vadik_dikiy,vadik_dikiy,2.1M,1.3M,107K,685,3.6K
caocuongvu,caocuongvu,4M,2.3M,232.6K,720,403
upinipin.official,Upin & Ipin Official,11.1M,2.5M,127.7K,1K,848
susymourizz,Susy Mouriz🌷,9.2M,1.9M,161.2K,1.5K,423
jezzzini,JEZZINI,2.8M,862.4K,177.2K,913,2.8K
max_balegde,Max_Balegde,2.8M,1.1M,216.6K,1.3K,1.1K
coldcutz20,CHRIS COLDITZ,1.3M,4.9M,104K,451,658
charlyokei,Charlyokei,4.5M,1.9M,242.2K,665,562
joslum,José L,13.9M,1.6M,297.3K,795,385
ryanhdlombard,Ryan Lombard,9.5M,1.2M,245.9K,567,1.3K
bilalahy,Bilal,3.8M,897.2K,213.6K,1.2K,1.8K
erabii,Mohanaderabi,1.9M,1.2M,132.9K,1.5K,2K
recider,Recider,2M,1.1M,284.2K,712,1.1K
papa.groot,Mas Boy🐊,1.2M,4.3M,167.2K,663,112
joshrichards,Josh Richards,25.7M,1.9M,248K,778,403
camxnie,Cam & Nie,3.7M,1.5M,288.9K,649,634
juliano,juliano,10.9M,2.1M,199.1K,833,495
mayte421,May Te,155.2K,1.4M,100.9K,1.1K,2.8K
ayanakamachi,中町綾,1.5M,2.2M,163.5K,837,697
kaykai_ntch,Kaykai,8M,2.1M,254.1K,876,155
leleburnier,LELÊ BURNIER,2.6M,1.1M,236.9K,1.7K,472
anthonnyswagg3,anthonnyswagg,9.6M,2M,165.2K,587,1.1K
juicy_ankles,Juicy_ankles,2.4M,1.2M,268.7K,864,876
alpergold,alpergold,2.4M,1.1M,169K,2.4K,464
benjaminthebaker,Benjamin the baker,866.4K,1.4M,240.3K,502,1.1K
crisdevilgamer7,CrisDevilGamer,5.1M,2.4M,227.9K,820,155
birisdachapada_off,biris_off,2.3M,1.2M,170.3K,1.3K,1.3K
oli_natu,Oli Natu,10.6M,1.8M,236.8K,509,730
evgeniy_moskalev,Евгений Москалёв,872.3K,1.2M,56.4K,416,7.4K
gabrielabee,GABRIELA BEE,10M,854K,220.8K,1.9K,921
carlyncabel,carlyn ocampo,5.1M,2.4M,238.5K,752,169
drewafualo,Drew Afualo,7.8M,1.2M,215.6K,1.7K,434
brycehall,Bryce Hall,23M,2.3M,270.8K,456,406
kimkardashian,Kim Kardashian,5M,1.7M,144.3K,1.2K,936
fcbarcelona,fcbarcelona,21.1M,1.5M,200.4K,1K,688
igorjansen,igu,12.1M,1.5M,291.4K,722,466
ilizas,iliza,1.3M,1.2M,103.2K,354,3.8K
sommerray,Sommer Ray,12.2M,2.3M,216.8K,545,519
micaraht,micarahtewers,334.5K,1.5M,314.8K,407,690
cassholland,Cass Holland,2M,1.6M,270K,890,345
artbydemarcusshawn,DemarcusShawn,6.3M,978.5K,154.7K,1.8K,1.7K
mqquintos,Mikee Quintos,5M,3M,270.8K,431,202
nisriinejr,Nis,2M,1.5M,158.9K,1.7K,515
decorsnippets,Rue,954.7K,1.9M,118.6K,1K,1.2K
otakoyakisoba,otakoyakisoba,15.7M,1.8M,146.7K,577,1.4K
tariqjamilofcl,Tariq Jamil,2.5M,871.2K,116K,431,4.6K
wissensbert,wissensbert,2.3M,1.3M,183.1K,973,1.2K
shinohara_kenta,Animist☀️コマ撮り大道芸人,2.6M,1.4M,178.4K,769,1.3K
louka__m,Louka,2.7M,1.1M,190.1K,1.3K,1.1K
benoit_chevalier,Benoît Chevalier,10.1M,1.5M,133.9K,1.9K,637
justingrimes_,Justin Grimes,36K,1.3M,181.5K,1.1K,1.1K
laladulol,Lala du LoL,2.6M,1.2M,146K,843,2K
lilmabu,Lil Mabu,1.6M,1.4M,211.1K,1.3K,420
nickiminaj,Nicki Minaj,16.6M,1.3M,182.4K,1.8K,281
sankeuur,Sankeuur,1.5M,1.4M,226.7K,767,761
fresajapomex,Sonia Mayu,16.8M,2.8M,287.4K,358,265
ox_zung,원정맨 WonJeong,49.2M,2M,174.3K,1.1K,302
berkcoskunofficial,Berk Coşkun,3.5M,2.4M,83.6K,762,1.8K
jericktriana,Kathe🎤,3M,2.1M,118.3K,419,1.6K
shabiraalulaadnan,Shabiraalula&Ayah,7.7M,2.2M,178.6K,801,458
l_galy,L-GALY,1.4M,1.2M,145.4K,819,2K
gugafoods,Guga Foods,1.8M,1.9M,248.8K,548,493
fabstarden,Fabrício :),66K,692.8K,111.3K,2.9K,3.5K
lifeofadoctor,Life Of A Doctor,3.5M,1.3M,135.3K,1.5K,1.4K
jauncydev,Jonny,2.3M,921.5K,165.1K,763,2.4K
dixiedamelio,dixie,57.5M,3M,101.3K,1.3K,361
katiavlogss,KATIAVLOGS🐒,14.8M,2.7M,340.6K,385,142
soysaucer,fivar,1.4M,1.2M,150.6K,563,2.1K
secret_akk,angelka,958K,1.3M,164.9K,1.3K,989
0808sakura,🌸桜🌸,1.7M,1.1M,139.8K,2.1K,1K
ivanantoniochacon,Ivan,7.6M,1.1M,272.1K,950,635
nickandcarrie,Nick&Carrie,7.5M,1.7M,228.9K,503,728
juhmazzocco,Júlia Mazzocco,8.1M,1.7M,251.1K,434,719
tiktokmena,TikTok MENA,7.4M,10.8M,37K,548,643
vietphuongthoa98,Việt Phương Thoa,11.9M,2.2M,223.1K,726,265
ashkaashh,Ashaley 🦋,2.3M,1.5M,168.4K,843,1K
mariolcalderon,Mario Calderon,2.2M,483.2K,108.4K,3K,6.1K
adrianozendejas32,adrianozendejas32,2.8M,1.4M,156.3K,334,1.9K
ufozero2,Ufozero2,778.4K,1.4M,158.9K,282,1.8K
juanpazurita,Juanpa Zurita,13.3M,1.8M,240.8K,399,691
elqaq,Naji Elqaq,2.9M,1.8M,171.9K,773,749
bradley.thor,Thoren Bradley,6.4M,1.1M,121K,1.8K,1.7K
prokop_02,user64675106546,1.7M,2.3M,202K,587,420
ishtaher,Ismail Taher,4.2M,1.5M,270.8K,582,608
ongsquad,Ong Squad,8.6M,1.8M,143.1K,1.5K,348
aureliehermansyahatta,Aurelie Hermansyah,9.5M,1.7M,182.1K,667,836
regitamasri,Re🧚🏻‍♀️| IG : regitamsr,9.2M,2M,217.7K,899,197
jejenvalda,Jennifervalda🥬,3.9M,2.2M,240.7K,711,187
mimiermakeup,Mirta Miler,16.5M,1.8M,290.3K,615,274
jeremyhutchins,jeremy hutchins,10.3M,1.2M,166.7K,2.1K,211
maddybreteche,maddy,159.5K,1.6M,135.6K,1.3K,798
jakeceja,Jakeyboy,6.3M,1.9M,208.1K,734,436
willdevane,Will DeVane,1.4M,1.3M,111.5K,521,2.7K
danielarodrice,Daniela Rodrice,11.1M,1.7M,262.2K,562,475
soimah_pancawati,Soimah Pancawati,2.1M,1.2M,88.5K,1.9K,2.4K
areyoukiddingtv,AreYouKiddingTV,5.2M,2.5M,303.3K,388,220
doctormiguelpadilla,Doctor Miguel,6.4M,1M,181.3K,1.4K,1K
thejoeyswoll,Joey Swoll,5.7M,1.4M,175.4K,1.6K,366
leanadeeb,Leana Deeb,11.3M,1.7M,241.3K,700,410
drglaucomflecken,Dr. Glaucomflecken,2M,762.1K,110.1K,1.5K,3.9K
rayanfahmi,Rayoon,3.9M,2.3M,165K,623,571
fatmasariz,Fatma Sari Zar,1.7M,2.7M,203K,554,286
briandadeyanara,BRIANDA 💖,35M,1.7M,276.1K,649,311
paigetaylor.s,Paige Taylor,5M,1.6M,262.7K,851,220
hermanhadibasuki,Herman Hadi Basuki,2.9M,1.4M,66.8K,1.7K,3.1K
mackenzieziegler,Mackenzie Ziegler,22.3M,2.6M,210.6K,570,248
edakok59,EDA KÖK,4.5M,1.9M,104.6K,512,1.7K
ugolord,⚖️ The TikTok Attorney ⚖️,6.3M,1.4M,128.8K,2.3K,275
sibenitoo,SiBenitoo,6M,1.8M,137.4K,1.2K,607
ugolord,⚖️ The TikTok Attorney ⚖️,6.3M,1.4M,128.8K,2.3K,275
sibenitoo,SiBenitoo,6M,1.8M,137.4K,1.2K,607
raredoodle,rare doodle,2M,659.8K,142.2K,1.4K,3.3K
itsmenicksmithy2,Nick Smithyman 😎,13.6M,1.7M,179.2K,713,782
tonylopez,Tony Lopez,23.2M,1.5M,157.1K,1.5K,331
creatingwonders,Jesse J. Pedigo,12M,636.4K,84.1K,1.1K,7.1K
qpark,Q Park,34.2M,2.1M,124.9K,865,795
davidgetial,deivis,15.1M,1.7M,185.3K,1.2K,178
alexailacad_,Alexa Ilacad,2.1M,1.1M,155.4K,1.3K,1.2K
bessan_esmail,بيسان اسماعيل - Bessan Ismail,11.7M,1.8M,108K,1.4K,806
laactea,Stenio girardelli,1.4M,1M,177.7K,1.1K,1.4K
andyslife247,Andy’s Life,2M,1.9M,134.3K,1.1K,675
ceyda.kasabali,ceyda.kasabali,1.2M,2.1M,176.4K,424,738
taylorfrankiepaul,Taylor Paul,3.7M,3.6M,213K,403,159
tirullipa,Tirullipa,30M,1.9M,94.2K,1K,1.4K
ailaughatmyownjokes,"it&#39;s a me, Silvia :)",2.2M,849.2K,186.5K,842,1.9K
nisculas,nic,5.4M,1.9M,188.1K,907,288
xxlechuga,Daniel Lechuga,6.6M,1.2M,212K,1.3K,413
kikiandkilo,Kiki and Kilo,1.8M,762.3K,96.7K,724,5.1K
jerofreixas,jerofreixas,1.8M,1.1M,138.8K,809,2K
sherinicolee,sheri,14.3M,2.7M,281.2K,434,126
emirabdulgani,Emir Abdul Gani,22.7M,2.3M,230.2K,486,317
haimtheband,haimtheband,336.4K,1.3M,205.1K,820,774
goulamofficiel,Goulam,336.2K,717.6K,73.1K,2.4K,5.7K
juixxe,Jesús,3.2M,1.7M,227K,759,330
yass_ootd,Yass_ootd,779.9K,1.3M,221.2K,840,629
actressbecc,Becca Bastos,1.8M,1.1M,116.1K,560,2.7K
ashyizzle,Ashley,4.4M,1.8M,263.7K,542,347
jumpersjump,Jumpers Jump Podcast,8.1M,1.8M,208.5K,616,508
thaisslinares,Thais Nunes,1.4M,666.6K,160.6K,1.4K,2.6K
realrobyn,realrobyn,998.2K,766.6K,178.8K,1.7K,1.4K
sashaanddiana,Sasha and Diana,2M,1.7M,275.6K,780,117
lpshkaa,lpshkaa,2.5M,1.7M,155.9K,825,760
lee.cuong,Lee Cường,1.1M,2.5M,127.6K,856,459
ericdamier,ericdamier,1.3M,6.1M,72.8K,202,741
nandaarsyinta,Nanda Arsyinta,2.2M,1.8M,208.7K,717,428
piyanutella,kentang idaman🥴,5M,1.6M,215.6K,1.1K,143
nellarose,Nella Rose,515.4K,877.4K,215.9K,1.1K,1.1K
lasateuch,satine walle,951.2K,991.4K,218.1K,1.4K,527
muanglk,แม่เมือง 💛,4.1M,2.1M,228.5K,521,342
osmancengel,osmancengel,454.4K,2.5M,93.2K,443,1.3K
thekidke_,KEMANI,5.1M,770.5K,164.2K,803,2.5K
devincaherly,Devin Caherly,9M,2.1M,218.4K,727,191
thebentist,The Bentist / Orthodontist 🦷,12.8M,1.3M,242K,1.1K,214
ibarrechejavier,Javier Ibarreche,8.2M,1.3M,165.5K,1K,866
liiza.baez,Liza Baez,7.7M,1.1M,215.6K,1.2K,551
jacobwitzling,Jacob Witzling,1.1M,1.9M,114.4K,1.2K,690
gehadhassann,Gehad hassan👸🏻,7.9M,1.3M,149.2K,831,1.3K
aymanehamedi,Weld Mimoune,1.2M,2.1M,68.7K,587,2.3K
cx_.q,مصطفى البصراوي 62,3.7M,1.7M,121.4K,1.1K,826
thekidke_,KEMANI,5.1M,770.5K,164.2K,803,2.5K
devincaherly,Devin Caherly,9M,2.1M,218.4K,727,191
thebentist,The Bentist / Orthodontist 🦷,12.8M,1.3M,242K,1.1K,214
ibarrechejavier,Javier Ibarreche,8.2M,1.3M,165.5K,1K,866
liiza.baez,Liza Baez,7.7M,1.1M,215.6K,1.2K,551
jacobwitzling,Jacob Witzling,1.1M,1.9M,114.4K,1.2K,690
gehadhassann,Gehad hassan👸🏻,7.9M,1.3M,149.2K,831,1.3K
aymanehamedi,Weld Mimoune,1.2M,2.1M,68.7K,587,2.3K
cx_.q,مصطفى البصراوي 62,3.7M,1.7M,121.4K,1.1K,826
honeybobabear,honeybobabear,8.8M,2M,305.9K,551,109
lancealexander,Lance Alexander,1.3M,1.1M,180.1K,1.6K,455
jasminechiswell,Jasmine Chiswell,16.2M,2.3M,264.4K,551,106
ladydianka,LADY BUNNY🐰,9.2M,1.2M,144.7K,1.3K,899
shehabeldin100,Shehabeldin,7.1M,1.3M,147.4K,898,1.2K
ediqueixinho,Edivando Junior,4.3M,1.7M,185.2K,754,488
djaysonkaravane,Diego,1.2M,1.3M,133.5K,675,1.7K
antonyviews,Antonyviews✌🏼,10.7M,1.3M,220.5K,549,834
nekoglai,Николай,9.5M,1.2M,100.9K,2.6K,705
miakhalifa,Mia K.,36M,2.3M,145.3K,892,315
gabsmasr,✨gabs Masr✨,3.7M,2.2M,119.8K,1.1K,435
jayrscottyy,Jay,2.9M,968.2K,107.4K,741,3K
girlwithedogs,Girl With The Dogs,5.8M,707.4K,159.4K,1.1K,2.4K
cesarpantoja.n,Cesar Pantoja,14.5M,1.8M,247.7K,616,257
...anddy_,ANDDY 🐺🌙,1.3M,810.7K,99.3K,3.8K,1.1K
aldomirandar,Aldo Miranda,8.7M,1.5M,112.9K,341,2K
elysemyers,Elyse Myers,5.7M,1.1M,141.5K,1.6K,841
barstoolsports,Barstool Sports,20.7M,1.5M,162K,436,1.2K
yaraandomarr,Yara and Omar 💫,1.3M,3M,88.3K,767,708
oddanimalspecimens,Odd Animal Specimens,1.6M,2M,167.5K,720,424
dagelantv,Dagelan TV,147.9K,791.7K,64.1K,1.4K,6.1K
madeleinecwhite,Maddie White,3M,2.2M,316K,388,162
lehvideira,Lethicia Videira,8.3M,534.7K,55K,5.7K,7.3K
yosoyapple,YoSoyApple,835K,2M,128.5K,509,972
elledarlington,elle darlington,1.1M,1.2M,162K,885,1K
janinalchair,Janinalchair,20.4M,2.3M,278K,405,189
pluutao,Plutão,4.1M,1.2M,139.5K,2.1K,147
nazormaya,Maya Nazor,6M,2.6M,249.3K,473,111
jordy2d,jordy2d,3.3M,1.6M,196.7K,314,884
chedurena,Che Durena,7.5M,1.2M,102.4K,822,2.2K
missionaryjack,Jack Harlow,5.4M,915.9K,161.7K,1K,1.5K
emilymariko,Emily Mariko,12.2M,2.5M,199.9K,497,249
policiaperu,Policía Perú,456.7K,949.2K,99.3K,991,3K
mamene_lorenzo,LORENZO,1.5M,1.3M,169.4K,575,1.1K
kaliuchis,Kali Uchis,2.3M,843.8K,240.4K,1.3K,531
gustta_shoow,gustta shoow,3.6M,1.3M,169.1K,1.2K,443
songdoohee_444,ซอง ดูฮี (ช่องหลัก),4.4M,1.4M,182.1K,920,525
oafonsopadilha,Afonso Padilha,3.1M,1.1M,142.7K,562,1.8K
ybsbrodie,Brodie Moss,4.7M,2.3M,181.4K,706,176
rickylemon99,Ricky Limon,12.7M,1.8M,259.6K,415,371
z4_pucho,PUCHO,796.1K,984.5K,144.8K,1.2K,1.3K
notconor18new,NotConor18New,514K,628.3K,86.5K,3.4K,3.2K
cost_n_mayor,Cost n’ Mayor,5.2M,1.3M,201.2K,718,644
melmaia,Mel Maia 🍯,12.6M,1.7M,196.9K,635,429
snoopdogg,Snoop Dogg,24.5M,1.1M,148.4K,1.2K,955
viviindrawatyy,BTR Vivian,976.8K,1.7M,154.9K,968,352
georainbolt,georainbolt,1.4M,1.2M,124.9K,1.4K,966
astarbarbers,A Star Barbers,2.6M,1.7M,172.5K,726,475
jamal.jamael,Karim Jamal,2.8M,1.4M,135.5K,753,1.2K
_cjma,Chrystiane Jowy,9.2M,1.1M,201.7K,767,817
foilarmsandhog,Foil Arms & Hog,627.4K,1.3M,152.9K,523,1.2K
tctekk,tcTekk,966.1K,1.7M,118K,1.2K,532
inpersa16,Indah permatasari,2.2M,1.9M,134K,994,356
tuckerbudzyn,tuckerbudzyn,10.6M,959.7K,168.8K,293,1.9K
mamontellato,Marcela Montellato,5.3M,840.7K,198.2K,1K,1.1K
ismaellemais,Ismael Lemais,1M,1.1M,92.3K,948,2.5K
zeinabharake,Zeinab Harake,14.7M,1.8M,233.8K,474,353
lapizinncrack,Lapizin,308.7K,2.3M,183.3K,563,262
feliciatannnn,Felicia🐨,3.8M,1.6M,159.8K,1.2K,154
waguinhov,Waguinhov,6.1M,1.6M,153.6K,434,979
xibibrothers,Xibi Brothers,8.6M,1.7M,201.7K,354,655
anawoycick,Ana Woycick,12.8M,1.3M,121K,1.7K,619
moosenyc2,moose,643.4K,1.1M,143.2K,621,1.6K
davidvoinson,David Voinson,1M,726.2K,150.7K,679,2.5K
sabbyandsophia,Marie Twins🐵👭🏼,11.2M,1.3M,155.5K,1.4K,337
phamvinh99,Phạm Vinh,2.9M,1.9M,114.8K,1K,564
iniganta,Ganta 🐮,1.2M,909.3K,117K,2.1K,1.1K
carlosbelcastt,Belcast,2.3M,1.3M,170.5K,620,982
glutastory,Gluta Story,1.3M,1.2M,177K,665,1K
macdi_off,Macdi 〽️,769.9K,1.5M,125.4K,1.3K,507
simxmargo,Seamoan {870k},897.2K,1M,185.7K,1.1K,658
la.maraaa,LA MARA,7.7M,1.2M,214K,1.2K,122
padillamarilis,padillamarilis,552.5K,1.7M,87.8K,1.2K,1.1K
sebasc0423,Sebas Correa,7.5M,1M,183.6K,1.1K,727
katiessigmond,katie sigmond,6.9M,1.8M,207.5K,716,188
rafaellabd,Rafaella Dahlem,20.4K,455.7K,100.3K,840,6.5K
braxtonnncomerrr,Braxton Comer,3.3M,1.4M,228.9K,931,112
rg4_ticus,TICUS,702.1K,921K,114.5K,3K,172
pivet.workout,PIVET,4.9M,2.1M,150.5K,860,222
u.ueung,อุงเอิง 💖,1.2M,1.8M,156.5K,926,258
thongsoaicavip,Thông Soái Ca,1.7M,2.1M,93.5K,1.3K,382
bilal.hd91,Bilal Haddad | بلال الحدّاد,3M,1.1M,124.6K,1.7K,760
jannatmirza,J M 🥀,20.7M,1.3M,134.2K,1.5K,371
ssmaaaryy,Razi Monroe,9M,1.3M,165.5K,982,556
steveioe,Steveioe,11.1M,1.3M,150.5K,732,959
omahi.tiktok,OMAHI,15.2M,2M,301K,331,232
nathanmccarron0,Nathan’s Art,1.6M,1.1M,117.6K,1.4K,1.1K
lacha21.1,Lazaro Gonzalez,669.4K,750.3K,118.3K,655,3K
hyoga.x,Hyoga,552K,1M,121.9K,1.9K,727
rrqr7tatsumaki,Rivaldi Fataah,1.1M,2M,112.5K,1K,414
_catben_,Catherine Benson,10.9M,1.6M,212.5K,665,318
